design,B,bias_reported,rmse_reported,cover_reported,bias_corrected,rmse_corrected,cover_corrected,share_corrected_NA,mcse_reported
baseline,100,0.0248658226419871,0.0665186076718321,0.95,0.00231566088247128,0.0634284295065661,0.98,0,0.00620069728152689
zero_conditioning,100,0.0102503914619929,0.0628327379182045,0.99,0.0124378158866823,0.0654191211130831,0.98,0,0.0062303285815499
heterogeneous_effect,100,0.0181267065954551,0.0590268952480079,0.99,-0.00627895779437061,0.0577823958856581,0.99,0,0.00564576973183148
cohort_adoption,100,0.0423667321676694,0.0744026057547565,0.92,-0.000669887347372885,0.0642629399439906,0.98,0,0.00614702666773501
tenure_adoption,100,0.148799943551183,0.163674829669024,0.46,,,,1,0.00685198980636659
